,m,d,T,prob_d,batch,partial_info_queries,G(n=m),G(n=m^2),V(n=m),V(n=m^2)
0,10,1,100,1.0,1,0,1.95,5.38,0.5875,2.9756
1,20,1,100,1.0,1,0,2.28,9.02,0.5616,6.459599999999999
2,30,1,100,1.0,1,0,2.45,11.54,0.5275000000000002,7.448400000000003
3,40,1,100,1.0,1,0,2.65,14.33,0.6075,10.301099999999998
4,50,1,100,1.0,1,0,2.78,16.97,0.5716000000000001,13.3091
5,60,1,100,1.0,1,0,2.9,18.58,0.69,13.643600000000003
6,70,1,100,1.0,1,0,2.99,20.31,0.5699000000000001,15.6539
7,80,1,100,1.0,1,0,3.05,22.06,0.5874999999999999,15.9364
8,90,1,100,1.0,1,0,3.13,24.09,0.47309999999999997,18.9019
9,100,1,100,1.0,1,0,3.21,26.4,0.4459,21.580000000000005
